start_day,Category_ID,Ridership
2010/11/1,9,101
2010/11/1,10,40
2010/11/1,11,63
2010/11/1,12,86
2010/11/1,13,70
2010/11/1,14,71
2010/11/1,15,58
2010/11/1,16,98
2010/11/1,17,159
2010/11/1,18,154
2010/11/1,19,117
2010/11/1,20,67
2010/11/1,21,54
2010/11/1,22,43
2010/11/1,23,24
2010/11/2,0,9
2010/11/2,1,2
2010/11/2,3,1
2010/11/2,4,1
2010/11/2,5,8
2010/11/2,6,22
2010/11/2,7,70
2010/11/2,8,154
2010/11/2,9,103
2010/11/2,10,52
2010/11/2,11,60
2010/11/2,12,54
2010/11/2,13,64
2010/11/2,14,71
2010/11/2,15,75
2010/11/2,16,87
2010/11/2,17,151
2010/11/2,18,143
2010/11/2,19,112
2010/11/2,20,61
2010/11/2,21,52
2010/11/2,22,46
2010/11/2,23,24
2010/11/3,0,22
2010/11/3,1,7
2010/11/3,2,3
2010/11/3,4,4
2010/11/3,5,10
2010/11/3,6,27
2010/11/3,7,69
2010/11/3,8,145
2010/11/3,9,120
2010/11/3,10,49
2010/11/3,11,39
2010/11/3,12,65
2010/11/3,13,65
2010/11/3,14,54
2010/11/3,15,59
2010/11/3,16,91
2010/11/3,17,201
2010/11/3,18,182
2010/11/3,19,115
2010/11/3,20,76
2010/11/3,21,56
2010/11/3,22,37
2010/11/3,23,11
2010/11/4,0,8
2010/11/4,1,5
2010/11/4,2,2
2010/11/4,4,1
2010/11/4,5,1
2010/11/4,6,3
2010/11/4,7,14
2010/11/4,8,29
2010/11/4,9,17
2010/11/4,10,12
2010/11/4,11,6
2010/11/4,12,14
2010/11/4,13,12
2010/11/4,14,9
2010/11/4,15,12
2010/11/4,16,24
2010/11/4,17,85
2010/11/4,18,94
2010/11/4,19,89
2010/11/4,20,49
2010/11/4,21,56
2010/11/4,22,39
2010/11/4,23,21
2010/11/5,0,19
2010/11/5,1,4
2010/11/5,2,3
2010/11/5,4,5
2010/11/5,5,2
2010/11/5,6,16
2010/11/5,7,76
2010/11/5,8,170
2010/11/5,9,147
2010/11/5,10,64
2010/11/5,11,65
2010/11/5,12,100
2010/11/5,13,126
2010/11/5,14,112
2010/11/5,15,114
2010/11/5,16,132
2010/11/5,17,209
2010/11/5,18,153
2010/11/5,19,120
2010/11/5,20,90
2010/11/5,21,60
2010/11/5,22,53
2010/11/5,23,40
2010/11/6,0,29
2010/11/6,1,19
2010/11/6,2,12
2010/11/6,3,10
2010/11/6,4,1
2010/11/6,5,5
2010/11/6,6,4
2010/11/6,7,19
2010/11/6,8,38
2010/11/6,9,63
2010/11/6,10,85
2010/11/6,11,132
2010/11/6,12,188
2010/11/6,13,199
2010/11/6,14,170
2010/11/6,15,166
2010/11/6,16,197
2010/11/6,17,139
2010/11/6,18,107
2010/11/6,19,80
2010/11/6,20,50
2010/11/6,21,58
2010/11/6,22,32
2010/11/6,23,41
2010/11/7,0,28
2010/11/7,1,44
2010/11/7,2,11
2010/11/7,5,2
2010/11/7,6,2
2010/11/7,7,6
2010/11/7,8,37
2010/11/7,9,70
2010/11/7,10,113
2010/11/7,11,126
2010/11/7,12,147
2010/11/7,13,141
2010/11/7,14,146
2010/11/7,15,114
2010/11/7,16,116
2010/11/7,17,76
2010/11/7,18,80
2010/11/7,19,54
2010/11/7,20,47
2010/11/7,21,37
2010/11/7,22,23
2010/11/7,23,22
2010/11/8,0,11
2010/11/8,1,2
2010/11/8,4,1
2010/11/8,5,6
2010/11/8,6,27
2010/11/8,7,107
2010/11/8,8,170
2010/11/8,9,92
2010/11/8,10,42
2010/11/8,11,48
2010/11/8,12,84
2010/11/8,13,71
2010/11/8,14,71
2010/11/8,15,74
2010/11/8,16,100
2010/11/8,17,216
2010/11/8,18,172
2010/11/8,19,102
2010/11/8,20,87
2010/11/8,21,68
2010/11/8,22,48
2010/11/8,23,24
2010/11/9,0,11
2010/11/9,1,1
2010/11/9,2,2
2010/11/9,4,1
2010/11/9,5,2
2010/11/9,6,38
2010/11/9,7,107
2010/11/9,8,249
2010/11/9,9,121
2010/11/9,10,76
2010/11/9,11,50
2010/11/9,12,89
2010/11/9,13,93
2010/11/9,14,94
2010/11/9,15,85
2010/11/9,16,120
2010/11/9,17,242
2010/11/9,18,181
2010/11/9,19,158
2010/11/9,20,106
2010/11/9,21,72
2010/11/9,22,47
2010/11/9,23,19
2010/11/10,0,13
2010/11/10,1,6
2010/11/10,2,4
2010/11/10,4,3
2010/11/10,5,5
2010/11/10,6,26
2010/11/10,7,126
2010/11/10,8,243
2010/11/10,9,134
2010/11/10,10,74
2010/11/10,11,78
2010/11/10,12,116
2010/11/10,13,79
2010/11/10,14,81
2010/11/10,15,78
2010/11/10,16,126
2010/11/10,17,239
2010/11/10,18,176
2010/11/10,19,134
2010/11/10,20,129
2010/11/10,21,106
2010/11/10,22,60
2010/11/10,23,39
2010/11/11,0,18
2010/11/11,1,10
2010/11/11,2,4
2010/11/11,3,2
2010/11/11,4,1
2010/11/11,6,14
2010/11/11,7,56
2010/11/11,8,187
2010/11/11,9,128
2010/11/11,10,94
2010/11/11,11,109
2010/11/11,12,140
2010/11/11,13,148
2010/11/11,14,155
2010/11/11,15,147
2010/11/11,16,132
2010/11/11,17,207
2010/11/11,18,171
2010/11/11,19,146
2010/11/11,20,79
2010/11/11,21,48
2010/11/11,22,62
2010/11/11,23,29
2010/11/12,0,17
2010/11/12,1,9
2010/11/12,2,3
2010/11/12,5,2
2010/11/12,6,29
2010/11/12,7,81
2010/11/12,8,197
2010/11/12,9,121
2010/11/12,10,72
2010/11/12,11,81
2010/11/12,12,132
2010/11/12,13,124
2010/11/12,14,124
2010/11/12,15,131
2010/11/12,16,122
2010/11/12,17,233
2010/11/12,18,194
2010/11/12,19,125
2010/11/12,20,89
2010/11/12,21,63
2010/11/12,22,59
2010/11/12,23,51
2010/11/13,0,37
2010/11/13,1,34
2010/11/13,2,12
2010/11/13,3,8
2010/11/13,4,2
2010/11/13,5,3
2010/11/13,6,5
2010/11/13,7,23
2010/11/13,8,37
2010/11/13,9,69
2010/11/13,10,120
2010/11/13,11,208
2010/11/13,12,212
2010/11/13,13,224
2010/11/13,14,244
2010/11/13,15,250
2010/11/13,16,197
2010/11/13,17,151
2010/11/13,18,127
2010/11/13,19,89
2010/11/13,20,70
2010/11/13,21,67
2010/11/13,22,58
2010/11/13,23,53
2010/11/14,0,47
2010/11/14,1,51
2010/11/14,2,17
2010/11/14,3,20
2010/11/14,4,1
2010/11/14,5,2
2010/11/14,6,10
2010/11/14,7,21
2010/11/14,8,31
2010/11/14,9,84
2010/11/14,10,114
2010/11/14,11,149
2010/11/14,12,199
2010/11/14,13,227
2010/11/14,14,247
2010/11/14,15,182
2010/11/14,16,198
2010/11/14,17,135
2010/11/14,18,86
2010/11/14,19,73
2010/11/14,20,46
2010/11/14,21,41
2010/11/14,22,37
2010/11/14,23,21
2010/11/15,0,9
2010/11/15,1,2
2010/11/15,2,3
2010/11/15,3,1
2010/11/15,4,5
2010/11/15,5,3
2010/11/15,6,37
2010/11/15,7,102
2010/11/15,8,228
2010/11/15,9,117
2010/11/15,10,48
